data,label,char_count,word_count,has_emoji,has_link,has_english,has_science,clean,clean_word_count
آب در دمای ۱۰۰ درجه سانتی‌گراد در فشار استاندارد به جوش می‌رسد.,Scientific,63,12,False,False,False,True,آب در دمای ۱۰۰ درجه سانتی‌گراد در فشار استاندارد به جوش می‌رسد.,12
نور خورشید ترکیبی از طیف‌های مختلف نور مرئی و نامرئی است.,Scientific,57,11,False,False,False,True,نور خورشید ترکیبی از طیف‌های مختلف نور مرئی و نامرئی است.,11
ساختار DNA شامل دو رشته مارپیچی است که اطلاعات ژنتیکی را ذخیره می‌کند.,Scientific,70,13,False,False,True,True,ساختار دی‌ان‌ای شامل دو رشته مارپیچی است که اطلاعات ژنتیکی را ذخیره می‌کند.,13
نیروی گرانش باعث می‌شود اجسام همیشه به سمت مرکز زمین کشیده شوند.,Scientific,64,12,False,False,False,True,نیروی گرانش باعث می‌شود اجسام همیشه به سمت مرکز زمین کشیده شوند.,12
مغز انسان حدود ۲۰ درصد انرژی کل بدن را مصرف می‌کند.,Scientific,51,11,False,False,False,False,مغز انسان حدود ۲۰ درصد انرژی کل بدن را مصرف می‌کند.,11
گیاهان برای رشد به فتوسنتز نیاز دارند که طی آن نور را به انرژی تبدیل می‌کنند.,Scientific,77,16,False,False,False,True,گیاهان برای رشد به فتوسنتز نیاز دارند که طی آن نور را به انرژی تبدیل می‌کنند.,16
قلب انسان به طور میانگین ۷۰ بار در دقیقه می‌تپد.,Scientific,48,10,False,False,False,False,قلب انسان به طور میانگین ۷۰ بار در دقیقه می‌تپد.,10
اسیدهای آمینه واحدهای سازندهٔ پروتئین‌ها هستند.,Scientific,47,6,False,False,False,False,اسیدهای آمینه واحدهای سازندهٔ پروتئین‌ها هستند.,6
سرعت صوت در هوا حدود ۳۴۰ متر بر ثانیه است.,Scientific,42,10,False,False,False,False,سرعت صوت در هوا حدود ۳۴۰ متر بر ثانیه است.,10
دما نشان‌دهنده میزان انرژی جنبشی مولکول‌های یک ماده است.,Scientific,56,9,False,False,False,True,دما نشان‌دهنده میزان انرژی جنبشی مولکول‌های یک ماده است.,9
زلزله نتیجهٔ حرکت صفحات تکتونیکی در پوستهٔ زمین است.,Scientific,52,9,False,False,False,False,زلزله نتیجهٔ حرکت صفحات تکتونیکی در پوستهٔ زمین است.,9
ماه هیچ منبع نوری ندارد و نور خورشید را بازتاب می‌دهد.,Scientific,54,11,False,False,False,True,ماه هیچ منبع نوری ندارد و نور خورشید را بازتاب می‌دهد.,11
واکنش‌های شیمیایی با شکستن و تشکیل پیوندهای جدید بین اتم‌ها رخ می‌دهند.,Scientific,71,12,False,False,False,False,واکنش‌های شیمیایی با شکستن و تشکیل پیوندهای جدید بین اتم‌ها رخ می‌دهند.,12
آهن در معرض هوا و رطوبت به مرور اکسید شده و زنگ می‌زند.,Scientific,55,13,False,False,False,False,آهن در معرض هوا و رطوبت به مرور اکسید شده و زنگ می‌زند.,13
موجودات زنده برای بقا به تبادل انرژی با محیط نیاز دارند.,Scientific,56,11,False,False,False,False,موجودات زنده برای بقا به تبادل انرژی با محیط نیاز دارند.,11
سرعت نور در خلأ تقریباً ۳۰۰ هزار کیلومتر بر ثانیه است.,Scientific,54,11,False,False,False,True,سرعت نور در خلأ تقریباً ۳۰۰ هزار کیلومتر بر ثانیه است.,11
سلول بنیادی قابلیت تبدیل به انواع سلول‌های دیگر بدن را دارد.,Scientific,60,11,False,False,False,False,سلول بنیادی قابلیت تبدیل به انواع سلول‌های دیگر بدن را دارد.,11
لایه اوزون بخشی از اشعه‌های زیان‌آور فرابنفش را جذب می‌کند.,Scientific,59,10,False,False,False,False,لایه اوزون بخشی از اشعه‌های زیان‌آور فرابنفش را جذب می‌کند.,10
در فیزیک، کار زمانی انجام می‌شود که نیرو باعث جابه‌جایی جسم شود.,Scientific,64,12,False,False,False,False,در فیزیک، کار زمانی انجام می‌شود که نیرو باعث جابه‌جایی جسم شود.,12
آنزیم‌ها سرعت واکنش‌های شیمیایی در بدن را افزایش می‌دهند.,Scientific,57,9,False,False,False,False,آنزیم‌ها سرعت واکنش‌های شیمیایی در بدن را افزایش می‌دهند.,9
فشار خون نیروی واردشده توسط خون به دیواره رگ‌ها است.,Scientific,52,10,False,False,False,True,فشار خون نیروی واردشده توسط خون به دیواره رگ‌ها است.,10
جانوران خون‌سرد دمای بدنشان را با محیط تنظیم می‌کنند.,Scientific,53,9,False,False,False,True,جانوران خون‌سرد دمای بدنشان را با محیط تنظیم می‌کنند.,9
واکسن‌ها با تحریک سیستم ایمنی بدن از بیماری‌ها جلوگیری می‌کنند.,Scientific,63,10,False,False,False,False,واکسن‌ها با تحریک سیستم ایمنی بدن از بیماری‌ها جلوگیری می‌کنند.,10
آتشفشان‌ها زمانی فوران می‌کنند که فشار ماگما در زیر زمین افزایش یابد.,Scientific,69,12,False,False,False,True,آتشفشان‌ها زمانی فوران می‌کنند که فشار ماگما در زیر زمین افزایش یابد.,12
هر عنصر شیمیایی تعدادی پروتون مشخص در هسته خود دارد.,Scientific,52,10,False,False,False,False,هر عنصر شیمیایی تعدادی پروتون مشخص در هسته خود دارد.,10
گیاهان از طریق روزنه‌های برگ اکسیژن و دی‌اکسیدکربن را تبادل می‌کنند.,Scientific,68,11,False,False,False,False,گیاهان از طریق روزنه‌های برگ اکسیژن و دی‌اکسیدکربن را تبادل می‌کنند.,11
نیروی اصطکاک حرکت اجسام را کاهش می‌دهد.,Scientific,39,7,False,False,False,False,نیروی اصطکاک حرکت اجسام را کاهش می‌دهد.,7
خورشید یک ستاره از نوع کوتوله زرد است.,Scientific,38,8,False,False,False,False,خورشید یک ستاره از نوع کوتوله زرد است.,8
دریاها منبع اصلی تبخیر و تشکیل ابرها هستند.,Scientific,43,8,False,False,False,False,دریاها منبع اصلی تبخیر و تشکیل ابرها هستند.,8
هورمون انسولین به تنظیم قند خون کمک می‌کند.,Scientific,43,8,False,False,False,False,هورمون انسولین به تنظیم قند خون کمک می‌کند.,8
جریان الکتریکی ناشی از حرکت الکترون‌ها است.,Scientific,43,7,False,False,False,False,جریان الکتریکی ناشی از حرکت الکترون‌ها است.,7
استخوان‌ها با افزایش سن تراکم خود را از دست می‌دهند.,Scientific,52,10,False,False,False,False,استخوان‌ها با افزایش سن تراکم خود را از دست می‌دهند.,10
ماهواره‌ها با استفاده از نیروی گرانش در مدار زمین باقی می‌مانند.,Scientific,64,11,False,False,False,True,ماهواره‌ها با استفاده از نیروی گرانش در مدار زمین باقی می‌مانند.,11
باکتری‌ها می‌توانند در شرایط مناسب به سرعت تکثیر شوند.,Scientific,54,9,False,False,False,False,باکتری‌ها می‌توانند در شرایط مناسب به سرعت تکثیر شوند.,9
